"Story","Title","Result","Date","Stability","Duration (s)"
"Validar el correcto funsionamiento del proseso de login de la aplicacion Conduit","Realizar login con credenciales validas","ERROR","2023-05-28T07:24:56.088267-03:00[America/Argentina/Buenos_Aires]","0.0","0.36"
"Validar el correcto funsionamiento del proseso de login de la aplicacion Conduit","Realizar login con credenciales invalidas","PENDING","2023-05-28T07:24:56.625746-03:00[America/Argentina/Buenos_Aires]","0.0","0.03"
